,name,lat,long
357,Rising Tide Brewing Company,43.66575308,-70.25708694
358,Rivertowne Brewing Company,40.4214747,-79.63554209
359,Sixpoint Craft Ales,40.67408329,-74.01196725
360,Flying Mouse Brewery,37.4093728,-79.90051476
361,Pipeworks Brewing Company,41.9183345,-87.72544772
362,Flesk Brewing Company,42.15605579,-88.13875713
363,Latitude 42 Brewing Company,42.30056207,-85.66858087
364,4 Hands Brewing Company,38.61514819,-90.19771882
365,SlapShot Brewing Company,41.83385636,-87.73246553
366,Red Shedman Farm Brewery and Hop...,39.42310647,-77.19262835
367,Two Brothers Brewing Company,41.82456591,-88.21190082
368,Bent Paddle Brewing Company,46.76866404,-92.12064582
369,Speakasy Ales & Lagers,37.7383713,-122.3808579
370,Black Tooth Brewing Company,44.80104015,-106.9536462
371,Keweenaw Brewing Company,47.12226149,-88.56866144
372,Grey Sail Brewing Company,41.38504312,-71.83247295
373,Broad Brook Brewing LLC,41.95948262,-72.66337404
374,Madtree Brewing Company,41.95951453,-72.6634706
375,Jackie O's Pub & Brewery,39.15645483,-84.42396299
376,Tröegs Brewing Company,40.29729679,-76.64306056
377,Christian Moerlein Brewing Company,39.11646402,-84.51937359
378,Coastal Extreme Brewing Company,41.5158233,-71.31557189
379,Lone Tree Brewing Company,39.56275307,-104.892872
380,Glabrous Brewing Company,43.9026295,-70.25923076
381,Bonfire Brewing Company,39.65549504,-106.8286781
382,Thomas Hooker Brewing Company,41.80934392,-72.71059244
383,"Woodstock Inn, Station & Brewery",44.03260018,-71.68696595
384,Mother Earth Brew Company,33.16785697,-117.2201994
385,Jailbreak Brewing Company,39.12460641,-76.8234558
386,Smartmouth Brewing Company,36.86671648,-76.30901856
387,Base Camp Brewing Co.,45.519996,-122.6560873
388,Southern Star Brewing Company,30.35867794,-95.477523
389,Horny Goat Brew Pub,43.0197847,-87.90937344
390,Cheboygan Brewing Company,45.64341889,-84.47824174
391,Center of the Universe Brewing C...,37.7088841,-77.44698769
392,Uncle Billy's Brewery and Smokeh...,30.26245685,-97.76117263
393,Southern Prohibition Brewing Com...,31.33020733,-89.28977886
394,Hops & Grains Brewing Company,30.82536824,-97.65756603
395,Sietsema Orchards and Cider Mill,43.00103622,-85.45954262
396,Core Brewing & Distilling Company,36.20675876,-94.1336745
397,Independence Brewing Company,31.51443074,-97.59931752
398,Cigar City Brewing Company,27.95922819,-82.50929192
399,Narragansett Brewing Company,41.81851928,-71.39048151
400,Platform Beer Company,41.4801519,-81.71407736
